# 词 	 拼音 	 题型 	 词源 	 释义 	 释义来源 	 例句 	 例句出处 	 课本里出现次数
仄起	zè qǐ	写	词典	倾斜突起；近体诗的起句形式。指首句第二字为仄声	新华	北方人念阵字，总老像是层字，平平仄{仄起}来，这念错的歧韵，倒来得正好。	故都的秋	1
仓猝	cāng cù	写	词典			成{仓猝}莫知所救，顿足失色。	促织	1
仕宦	shì huàn	写	词典			阿母得闻之，零泪应声落：“汝是大家子，{仕宦}于台阁，慎勿为妇死，贵贱情何薄！	孔雀东南飞并序	1
仕籍	shì jí	写	词典	旧指记载官吏名籍的簿册	新华			1
以蠹贫	yǐ dù pín	都考	课本	因胥吏侵害而贫穷	课本	独是成氏子{以蠹贫}，以促织富，裘马扬扬。	促织	1
传为笑谈	chuán wéi xiào tán	读	成语	笑谈笑话；笑料。流传开去成为人们谈笑的资料	成语	公子虽愧恨，犹不知所题，折帖示仆。闻者{传为笑谈}。	《聊斋志异·嘉平公子》	1
伫立	zhù lì	写	词典	亦作伫立；久立	新华			1
伶仃孤苦	líng dīng gū kǔ	写	成语	伶仃孤独，没有依靠。孤单困苦，没有依靠	成语	零丁孤苦，至于成立。	《陈情表》	1
似曾相识	sì céng xiāng shí	读	成语	好象曾经见过。形容见过的事物再度出现	成语	词无可奈何花落去，{似曾相识}燕归来，小园香径独徘徊。	《浣溪沙》	1
佚之狐	yì zhī hú	都考	课本	郑国大夫	课本	{佚之狐}言于郑伯曰：“国危矣，若使烛之武见秦君，师必退。”	烛之武退秦师	1
佞人	nìng rén	写	词典					1
侍僮	shì tóng	写	词典	随身使唤的少年男仆	新华			1
信札	xìn zhá	写	词典	书信，信件	新华	这一夜，我烧掉了朋友们的旧{信札}，就和女人抱着孩子走在一个客栈里。	为了忘却的记念	1
修葺	xiū qì	写	词典	修理建筑物修葺房屋｜修葺城垒	新华	余稍为{修葺}，使不上漏。	项脊轩志	1
俯瞰	fǔ kàn	写	词典	俯视	新华			1
倏然	shū rán	写	词典	亦作倐然；迅疾貌	新华			1
倡女	chāng nǚ	读	课本	歌女	课本	问其人，本长安{倡女}，尝学琵琶于穆、曹二善才，年长色衰，委身为贾人妇。	琵琶行并序	1
倩影	qiàn yǐng	写	词典	俏丽的身影；青年女子照片的美称	新华	弯弯的杨柳的稀疏的{倩影}	荷塘月色	1
偃卧	yǎn wò	写	词典	仰卧，睡卧	新华	大的怪物{偃卧}在低处是徒然的	自己之歌（节选）	1
偌大	ruò dà	写	词典			一出来方觉世界{偌大}	秦腔	1
偕行	xié xíng	写	词典	共存;并行；一同出发;一起走	新华	王于兴师，修我甲兵，与子{偕行}。	无衣	1
僮仆	tóng pú	都考	词典	仆役	新华	{僮仆}欢迎，稚子候门。	归去来兮辞并序	1
僮约	tóng yuē	写	词典	汉王褒作《僮约》，记奴婢契约◇因以僮约泛称主奴契约或对奴仆的种种约束规定	新华	可是到汉朝已经指鼻涕了，王褒《{僮约}》里说：“目泪下，鼻涕长一尺。”	第八单元	1
儿女情长	ér nǚ qíng cháng	读	成语	指过分看重爱情	成语	中尤恨其儿女情多，风云气少。	《诗品》	1
兀傲	wù ào	写	词典	亦作兀妔；孤傲不羁	新华			1
兀那	wù nà	写	词典	指示代词。犹那，那个。可指人、地或事	新华	（刽子做喝科，云）{兀那}婆子靠后，时辰到了也。	窦娥冤（节选）	1
全军覆没	quán jūn fù mò	读	成语	整个军队全部被消灭。比喻事情彻底失败	成语	官军皆为其所败，荆南节度使张伯仪{全军覆没}。	《旧唐书·李希烈传》	1
六幺令	liù yāo lìng	写	词典	唐教坊曲名，后用为词牌。又名《六幺》、《绿腰》	新华			1
兰渚	lán zhǔ	写	词典	渚的美称；渚名。在浙江省绍兴市西南	新华			1
共其乏困	gōng qí fá kùn	读	课本	供给他们缺少的资粮	课本	若舍郑以为东道主，行李之往来，{共其乏困}，君亦无所害。	烛之武退秦师	1
兴会淋漓	xìng huì lín lí	读	成语	兴会兴致；淋漓酣畅，充盛。形容兴致很高，精神舒畅	成语	今我在戎行，曷言艺文事？慷慨每难免，{兴会淋漓}至。	《湖海诗社开征引》	1
兵痞	bīng pǐ	写	词典	亦称兵痞子；指在旧军队长期当兵、沾染恶习的人	新华	一个国民党{兵痞}来吃冰激凌	心有一团火，温暖众人心	1
冠者	guàn zhě	读	课本	成年人	课本	曰：“莫春者，春服既成，{冠者}五六人，童子六七人，浴乎沂，风乎舞雩，咏而归。”	子路、曾皙、冉有、公西华侍坐	1
冯虚御风	píng xū yù fēng	读	课本	凌空驾风而行	课本	浩浩乎如{冯虚御风}，而不知其所止；飘飘乎如遗世独立，羽化而登仙。	赤壁赋	1
凄怆	qī chuàng	写	词典	凄惨悲伤妙句寄凄怆｜心中无限凄怆	新华			1
准噶尔	zhǔn gá ěr	写	词典	清卫拉特蒙古四部之一。因部族首领以绰罗斯为姓，故又名绰罗斯部	新华			1
凋落	diāo luò	写	词典			这时我正从城里来，我看见这幅图像，觉得我随身带来的纷扰都变成深秋的黄叶，自然而然地{凋落}了。	一个消逝了的山村	1
凫水	fú shuǐ	写	词典			“打沉了，我也会{凫水}捞东西，我管保比他们水式好，再深点儿我也不怕！”	小二黑结婚（节选）	1
凭眺	píng tiào	写	词典	在高处靠着栏杆望远(多指观赏风景)背面开窗临河，有栏可凭眺｜他曾由嘉兴来看过我一次，并约我去游南湖，凭眺过那儿的烟雨楼	新华			1
凭阑	píng lán	写	词典	见凭栏	新华	妾身千万难”（元姚燧《越调·{凭阑}人·寄征衣》）证明推理和抒情也可以完美结合……任务	二运用有效的推理形式	1
凶神恶煞	xiōng shén è shà	读	成语	原指凶恶的神◇用来形容非常凶恶的人	成语	第三折又犯着金神七煞上路，又犯着太岁，遭这般{凶神恶煞}，必然板僵身死了也。	《桃花女》	1
出类拔萃	chū lèi bá cuì	写	成语	拔超出；类同类；萃原为草丛生的样子，引伸为聚集。超出同类之上。多指人的品德才能	成语	出于其类，拔乎其萃，自生民以来，未有盛于孔子也。	《孟子·公孙丑上》	1
切磋	qiē cuō	都考	词典	见切磋琢磨	新华	三是“求于友”，与师友{切磋}交流	天文学上的旷世之争	1
制芰	zhì jì	写	词典	以芰荷之叶裁制衣裳。指象征芳洁的隐者之服。语出《楚辞．离骚》制芰荷以为衣兮	新华	{制芰}荷以为衣兮，集芙蓉以为裳。	离骚（节选）	1
剽掠其人	piāo lüè qí rén	都考	课本	从百姓那里抢来	课本	燕赵之收藏，韩魏之经营，齐楚之精英，几世几年，{剽掠其人}，倚叠如山。	阿房宫赋	1
劾大不敬	hé dà bù jìng	都考	课本	被判决为“大不敬”	课本	前长君为奉车，从至雍棫阳宫，扶辇下除，触柱折辕，{劾大不敬}，伏剑自刎，赐钱二百万以葬。	苏武传	1
勖率	xù lǜ	写	词典	亦作勖率；勉力遵循	新华			1
匏樽	páo zūn	都考	课本	用葫芦做成的酒器	课本	况吾与子渔樵于江渚之上，侣鱼虾而友麋鹿，驾一叶之扁舟，举{匏樽}以相属。	赤壁赋	1
匡世	kuāng shì	写	词典	挽救世道;扶正世道	新华	古往今来，众多仁人志士自觉承担{匡世}济民的责任，积极建言献策，勇于变法图强。	第八单元	1
匡正	kuāng zhèng	写	词典					1
千仞	qiān rèn	写	词典	形容极高或极深。古以八尺为仞	新华			1
千山万壑	qiān shān wàn hè	写	成语	壑山沟。山峦连绵，高低重迭	成语	群山万壑赴京门，生长明妃尚有村。	《咏怀古迹五首》	1
卢纶	lú lún	写	词典			灯下白头人”（司空曙《喜外弟{卢纶}见宿》）中的黄叶	说“木叶”	1
卷帙	juàn zhì	都考	词典			在它数以千计的{卷帙}里面，绝大多数我一点不感兴趣，也永远不会再感兴	读书：目的和前提	1
厚古薄今	hòu gǔ bó jīn	读	成语	厚推崇，重视；薄轻视，怠慢。推崇古代的，轻视现代的。多用于学术研究方面	成语	夫尊古而卑今，学者之流也。	《庄子·外物》	1
县丞	xiàn chéng	写	词典	官名。秦汉于诸县置丞，以佐令长，历代因之	新华			1
参差不齐	cēn cī bù qí	读	成语	参差长短、高低不齐。形容水平不一或很不整齐	成语	参差荇菜，左右采之。”汉·扬雄《法言·序目》国君将相，卿士名臣，{参差不齐}，一概诸圣。	《诗经·周南·关雎》	1
参省乎己	cān xǐng hū jǐ	读	课本	对自己检查、省察	课本	故木受绳则直，金就砺则利，君子博学而日{参省乎己}，则知明而行无过矣。	劝学	1
只争朝夕	zhǐ zhēng zhāo xī	读	成语	朝早晨；夕晚上；朝夕形容时间短暂。比喻抓紧时间，力争在最短的时间内达到目的	成语	天地转，光阴迫。一万年太久，{只争朝夕}。	《满江红·和郭沫若同志》	1
叱骂	chì mà	写	词典			在师傅和地主的{叱骂}声里过着日子。	大堰河——我的保姆	1
叹为观止	tàn wéi guān zhǐ	读	成语	叹赞赏；观止看到这里就够了。指赞美所见到的事物好到了极点	成语	我曾试图用级进原理来解释蜜蜂那令人{叹为观止}的建筑能力。	自然选择的证明	1
同仇敌忾	tóng chóu dí kài	写	成语	同仇共同对敌；敌对抗，抵拒；忾愤怒。指全体一致痛恨敌人	成语	修我戈矛，与子同仇。”《左传·文公四年》诸侯敌王所忾，而献其功。	《诗经·秦风·无衣》	1
名闻遐迩	míng wén xiá ěr	写	成语	名声传扬到各地，形容名声很大	成语	奚斤辨捷智谋，{名闻遐迩}。	《魏书·崔浩传》	1
后裔	hòu yì	写	词典					1
吐蕃	tǔ bō	都考	词典	公元七至九世纪，我国古代藏族所建政权	新华			1
吮咂	shǔn zā	写	词典	犹吮吸	新华	大人小孩都津津有味地{吮咂}着可口的绿色失眠小公鸡	百年孤独（节选）	1
呕哑嘲哳	ōu yā zhāo zhā	都考	课本	指声音嘈杂刺耳	课本	岂无山歌与村笛，{呕哑嘲哳}难为听。	琵琶行并序	1
呢喃	ní nán	都考	词典			它获得了只有在朋友和情侣间才被允许的耳边{呢喃}的距离	第四单元	1
呱呱坠地	gū gū zhuì dì	写	词典	形容婴儿出生或事物问世	成语	第三章尔{呱呱坠地}，无几月，即生父见背。	《断鸿零雁记》	1
呱呱而泣	gū gū ér qì	写	词典			妪又曰：“汝姊在吾怀，{呱呱而泣}；娘以指叩门扉曰：‘儿寒乎？	项脊轩志	1
呺然	xiāo rán	都考	课本	内中空虚而宽大的样子	课本	非不{呺然}大也，吾为其无用而掊之。”	五石之瓠	1
呼天抢地	hū tiān qiāng dì	读	成语	抢地触地。大声叫天，用头撞地。形容极度悲伤	成语	第四十回肖云仙{呼天抢地}，晶尽礼，治办丧事，十分尽心。	《儒林外史》	1
咂嘴	zā zuǐ	写	词典			大概也是轻易不大见油盐，两个大眼骨碌碌地瞪着那一堆堆的咸菜，馋得不住地{咂嘴}巴。	党费	1
咆哮	páo xiāo	写	词典					1
咔嚓	kā chā	都考	词典	同‘喀嚓’	新华	老人看着它张开了嘴，看着它那怪异的眼睛，看着它牙齿发出{咔嚓}一声，朝着鱼尾巴上方的肉扑咬过去。	老人与海（节选）	1
咬啮	yǎo niè	写	词典	咬。比喻缠住不放，再三恳求	新华	听到几张鱼嘴{咬啮}的声响	老人与海（节选）	1
咯咯	gē gē	写	词典			很长一段时间这些遗骨在家中到处碍事，总在意想不到的地方出现，像母鸡抱窝似的{咯咯}作响。	百年孤独（节选）	1
咯噔	gē dēng	写	词典	象声词从楼梯上传来了～～的皮靴声ㄧ听说厂里出了事儿，我心里～一下子，腿都软了	新华	但是，好像在粗鲁地回答他的问题似的，隔壁房间里的协理坚定地走了几步，他的皮靴{咯噔}作响。	变形记（节选）	1
哐啷	kuāng lāng	写	词典	象声词，形容器物撞击的声音他回身把门～一声关上了	新华	他的两条长腿灵巧地向上一跨就上了车，接着一阵叽里{哐啷}，绿色的车门就在姑娘们面前沉重地合上了。	哦，香雪	1
哔叽	bì jī	写	词典	一种纺织品。斜纹，表面光洁，质地较厚而软	新华	沙发、扑克、{哔叽}	第八单元	1
哽咽	gěng yè	都考	词典	哭时不能痛快地出声。也作梗咽	新华	府吏默无声，再拜还入户，举言谓新妇，{哽咽}不能语：“我自不驱卿，逼迫有阿母。	孔雀东南飞并序	1
唧唧哝哝	jī jī nóng nóng	写	词典	低声说话而絮叨不休	新华	邻近的女人们都跑来看，挤了半院，{唧唧哝哝}说：“看看！	小二黑结婚（节选）	1
商榷	shāng què	写	词典			他们的论证是否有可{商榷}之处？	五代史伶官传序	1
啧啧	zé zé	写	词典	象声词。形容声音轻细。多指鸟虫鸣声；叹词。表示赞叹、叹息、惊异等	新华	咱们香雪，天生一副好皮子，再照火车上那些闺女的样儿，把头发烫成弯绕绕，{啧啧}！	哦，香雪	1
啮雪	niè xuě	写	词典	谓嚼雪以止渴充饥。常比喻生活极端艰苦而坚贞不屈	新华	天雨雪，武卧{啮雪}，与旃毛并咽之，数日不死。	苏武传	1
善谏	shàn jiàn	写	词典	良好的规劝；谓善于规劝	新华			1
喋喋	dié dié	写	词典			你的浪花的{喋喋}，带到森林	致大海	1
喋血	dié xuè	写	词典			况且始终微笑着的和蔼的刘和珍君，更何至于无端在府门前{喋血}呢？	记念刘和珍君	1
喑哑	yīn yǎ	写	词典	哑巴，口不能言；谓沉默不语	新华	那{喑哑}的声音，那深渊之歌	致大海	1
喧阗	xuān tián	写	词典	亦作喧填。亦作喧嗔；喧哗，热闹	新华	在小教场迎春，锣鼓{喧阗}大热闹	边城（节选）	1
嗖嗖	sōu sōu	写	词典	象声词	新华	裙子发出{嗖嗖}的响声——妹妹怎么那么快就穿好了衣服？	变形记（节选）	1
嗟叹	jiē tàn	写	词典	叹息～不已	新华	举手拍马鞍，{嗟叹}使心伤：“自君别我后，人事不可量。	孔雀东南飞并序	1
嗟怨	jiē yuàn	写	词典	嗟叹怨恨	新华	（正旦唱）【叨叨令】可怜我孤身只影无亲眷，则落的吞声忍气空{嗟怨}。	窦娥冤（节选）	1
嗥叫	háo jiào	写	词典			刚过黄昏，野狗便四出寻食，有时远远在山沟里，有时近到墙外，做出种种求群求食的{嗥叫}的声音。	一个消逝了的山村	1
嘁嘁喳喳	qī qī zhā zhā	写	成语	低声议论，搬弄是非	成语	小妇人的{嘁嘁喳喳}，又何尝不可以消闲。	《准风月谈·归厚》	1
嘈嘈切切	cáo cáo qiē qiē	都考	词典	象声词。形容重浊与轻细的乐器声错杂喧响；象声词。形容杂乱的声音	新华	{嘈嘈切切}错杂弹，大珠小珠落玉盘。	琵琶行并序	1
嘟哝	dū nóng	写	词典			果然，他一边走，一边跟我{嘟哝}起来了。	百合花	1
嘟囔	dū nāng	写	词典			“北京话”陷在姑娘们的包围圈里，不知所措地{嘟囔}着。	哦，香雪	1
囿于见闻	yòu yú jiàn wén	写	词典			但是至少需要三人，不然会{囿于见闻}，不符合真实情况。	第四单元	1
圭臬	guī niè	写	词典			被后人奉为中国古代历法的{圭臬}的《太初历》	天文学上的旷世之争	1
坚如磐石	jiān rú pán shí	写	成语	坚坚固，结实；磐大石头。象大石头一样坚固。比喻不可动摇	成语	磐石方且厚，可以卒千年。”《文选·古诗十九首》良无磐石固，虚名复何有？	《孔雀东南飞》	1
坟茔	fén yíng	写	词典	①坟墓。②坟地	新华			1
垓下歌	gāi xià gē	写	词典					1
垝垣	guǐ yuán	都考	课本	残破的墙	课本	乘彼{垝垣}，以望复关。	氓	1
埏埴	shān zhí	都考	课本	和泥（制作陶器）	课本	{埏埴}以为器，当其无，有器之用。	《老子》四章	1
堂倌	táng guān	写	词典	旧称酒楼、餐馆、茶肆等中的服务人员堂倌见进来四条大汉	新华			1
塞翁失马	sài wēng shī mǎ	读	成语	塞边界险要之处；翁老头。比喻一时虽然受到损失，也许反而因此能得到好处	成语	但真所谓“{塞翁失马}安知非福”罢，阿Q不幸而赢了一回，他倒几乎失败了。	阿Q正传（节选）	1
塾师	shú shī	写	词典	旧时私塾的教师	新华			1
墐户	jìn hù	写	词典	涂塞门窗孔隙	新华			1
墙垣	qiáng yuán	写	词典	亦作墙垣；墙壁	新华			1
壕沟	háo gōu	写	词典					1
外厩	wài jiù	写	词典	宫外的马舍	新华	而骏良駃騠不实{外厩}	谏逐客书	1
外铄	wài shuò	写	词典	犹外力	新华			1
夙兴夜寐	sù xīng yè mèi	写	成语	夙早；兴起来；寐睡。早起晚睡。形容勤奋	成语	{夙兴夜寐}，靡有朝矣。	氓	1
大有作为	dà yǒu zuò wéi	读	成语	作为做出成绩。能够极大地发挥作用，作一番贡献	成语	故将大有为之君，必有所不召之臣，欲有谋焉则就之。”朱熹集注大有为之君，{大有作为}，非常之君也。	《孟子·公孙丑下》	1
大难临头	dà nàn lín tóu	读	成语	难灾祸；临来到。大祸落到头上	成语	他仿佛已经有什么{大难临头}似的，说话有些口吃了，声音也发着抖。	《彷徨·弟兄》	1
奄奄一息	yǎn yǎn yī xī	写	成语	奄奄呼吸微弱的样子。只剩下一口气。形容临近死亡	成语	第八十七回惠王亲往问疾，见痤病势已重，{奄奄一息}。	《东周列国志》	1
奇葩	qí pā	写	词典	珍奇的花；喻出众的作品	新华	目睹了钟扬在收学生时的不少“{奇葩}”事儿。	“探界者”钟扬	1
奏刀騞然	zòu dāo huō rán	都考	课本	进刀时发出“騞”的声音	课本	庖丁为文惠君解牛，手之所触，肩之所倚，足之所履，膝之所踦，砉然向然，{奏刀騞然}，莫不中音。	庖丁解牛	1
奴颜婢膝	nú yán bì xī	写	成语	奴颜奴才的脸，满面谄媚相；婢膝侍女的膝，常常下跪。指表情和动作奴才相十足	成语	以奴颜婢睐者为晓解当世。	《抱扑子·交际》	1
如履薄冰	rú lǚ bó bīng	读	成语	履践、踩在上面。象走在薄冰上一样。比喻行事极为谨慎，存有戒心	成语	战战兢兢，如临深渊，{如履薄冰}。	《诗·小雅·小昮》	1
如鲠在喉	rú gěng zài hóu	写	成语	鱼骨头卡在喉咙里。比喻心里有话没有说出来，非常难受	成语			1
妃嫔媵嫱	fēi pín yìng qiáng	都考	课本	指六国王侯的宫妃	课本	{妃嫔媵嫱}，王子皇孙，辞楼下殿，辇来于秦。	阿房宫赋	1
妞妞	niū niū	写	词典	对女孩儿的昵称	新华	小□妞不卖{妞妞}啦？	茶馆（节选）	1
妞子	niū zi	写	词典			“乖{妞子}，咱不要	党费	1
妾身	qiè shēn	写	词典	旧时女子谦称自己	新华	{妾身}千万难”（元姚燧《越调·凭阑人·寄征衣》）证明推理和抒情也可以完美结合……任务	二运用有效的推理形式	1
姹紫嫣红	chà zǐ yān hóng	写	成语	姹、嫣娇艳。形容各种花朵娇艳美丽	成语	【皂罗袍】原来{姹紫嫣红}开遍，似这般都付与断井颓垣。	游园	1
娇嗔	jiāo chēn	写	词典	佯装生气的娇态	新华	有人朝车厢指点，不时能听见她们由于互相捶打而发出的一两声{娇嗔}的尖叫。	哦，香雪	1
娉娉袅袅	pīng pīng niǎo niǎo	写	词典	见娉娉褭褭	新华			1
娴雅	xián yǎ	写	词典	文静大方举止娴雅｜仪态娴雅	新华			1
娼妇	chāng fù	写	词典	妓女；用做辱骂妇女的詈词	新华	涂脂抹粉的{娼妇}的脸，还不及掩藏在虚伪的言辞后面的我的行为更丑恶。	哈姆莱特（节选）	1
婀娜	ē nuó	都考	词典			青雀白鹄舫，四角龙子幡，{婀娜}随风转。	孔雀东南飞并序	1
婢妾	bì qiè	写	词典	妾与使女	新华			1
媛女	yuàn nǚ	写	词典	美女	新华			1
嫡亲	dí qīn	写	词典					1
嫣然	yān rán	写	词典	美好貌；娇媚的笑态	新华	不过，她从衣衫上看出他是个有钱人，就{嫣然}一笑。	复活（节选）	1
嬉游	xī yóu	写	词典	见嬉游	新华	梁元帝《采莲赋》里说得好：可见当时{嬉游}的光景了。	荷塘月色	1
嬉闹	xī nào	写	词典	嬉笑打闹	新华	弟与哥嫂可以{嬉闹}无常	秦腔	1
嬷嬷	mā mā	写	词典			敲锣买糖……”或是唱着：“月亮{嬷嬷}	百合花	1
子嗣	zi sì	写	词典					1
子胥	zi xū	写	词典	春秋楚大夫伍员的字。楚平王杀其父奢兄尚，其经宋郑入吴，助阖庐夺取王位，整军经武	新华	所以《战国策》里说伍{子胥}“坐行蒲服	第八单元	1
孜孜不倦	zī zī bù juàn	写	成语	孜孜勤勉，不懈怠。指工作或学习勤奋不知疲倦	成语	从此我便{孜孜不倦}地搜寻大厅中那一个个高高的书架	读书：目的和前提	1
孜孜以求	zī zī yǐ qiú	写	成语	孜孜勤勉的样子。不知疲倦地探求	成语	写袁隆平就要突出他{孜孜以求}的精神，写他坚持真理、不断创新的研究历程。	芣苢	1
孤身只影	gū shēn zhī yǐng	读	成语	孤零零的一个人。形容孤儿无亲	成语	第三折可怜我{孤身只影}无亲眷，则落的吞声忍气空嗟怨。	《窦娥冤》	1
孱头	càn tóu	写	词典	卑劣怯懦的人。形容人品下劣懦怯	新华	是{孱头}；勃然大怒	拿来主义	1
守藩	shǒu fān	写	词典	指王侯驻守其封地。亦指受封为王侯	新华	乃使蒙恬北筑长城而{守藩}篱，却匈奴七百余里；胡人不敢南下而牧马，士不敢弯弓而报怨。	过秦论	1
安然无恙	ān rán wú yàng	写	成语	恙病。原指人平安没有疾病。现泛指事物平安未遭损害	成语	岁亦无恙耶？民亦无恙耶？王亦无恙耶？。	《战国策·齐策》	1
安谧	ān mì	写	词典			地遵循的规律在性质上则属于“方”，{安谧}静止。	天文学上的旷世之争	1
审时度势	shěn shí duó shì	读	成语	审仔细研究；时时局；度估计；势发展趋势。观察分析时势，估计情况的变化	成语	刘欲毕试以完大典，俱{审时度势}，切中事理。	《万历野获编·乡试遇水火灾》	1
宽宥	kuān yòu	写	词典	宽恕；饶恕	新华	但是，正是这种情况不明令其他人困惑，并使他们的态度得到{宽宥}。	变形记（节选）	1
寒噤	hán jìn	写	词典	因受冷或受惊而身体颤动打～	新华	我身不由己地打了一个{寒噤}	长征胜利万岁	1
对峙	duì zhì	写	词典	相对而立两山～◇两军～（相持不下）	新华			1
对牛弹琴	duì niú tán qín	读	成语	讥笑听话的人不懂对方说得是什么。用以讥笑说话的人不看对象	成语	公明仪为牛弹清角之操，伏食如枚。非牛不闻，不合其耳矣。	《理惑论》	1
尧舜	yáo shùn	写	词典	唐尧和虞舜的并称。远古部落联盟的首领。古史传说中的圣明君主	新华			1
尺牍	chǐ dú	写	词典			音乐绘画、书法{尺牍}	《红楼梦》	1
尽心竭力	jìn xīn jié lì	读	成语	尽全部用出；竭用尽。用尽心思，使出全力。形容做事十分努力	成语	行此六者，谓之有利，故得师尽其心，竭其力，致其命。	《忠经·武备章》	1
屠戮	tú lù	写	词典	亦作屠僯；杀戮，杀害	新华	中国军人的{屠戮}妇婴的伟绩，八国联军的惩创学生的武功，不幸全被这几缕血痕抹杀了。	记念刘和珍君	1
屠格涅夫	tú gé niè fū	写	词典	(ивансергеевичтур钵鸳支擐支樱1818-1883)俄国作家	新华	受过{屠格涅夫}和谢德林的陶冶	装在套子里的人	1
山麓	shān lù	写	词典			那时在湖南一所偏僻山村农校──湘西雪峰{山麓}的安江农校任教的青年袁隆平便下定决心	喜看稻菽千重浪	1
岁月蹉跎	suì yuè cuō tuó	写	成语	指无所作为地把时间荒废掉了	成语	倘我不能报复而死，埋没了龙家的豹韬，枉蹉跎岁月一死鸿毛。	《灌园记·君后授衣》	1
岑参	cén cān	写	词典					1
峒人	dòng rén	写	词典	旧称西南地区聚居于山区的少数民族	新华	全茶{峒人}就吃了午饭	边城（节选）	1
崔嵬	cuī wéi	写	词典	①有石的土山陟彼崔嵬。②高耸的样子冠切云之崔嵬｜古老的泰山越发显得崔嵬了	新华	剑阁峥嵘而{崔嵬}，一夫当关，万夫莫开。	蜀道难	1
巉岩	chán yán	都考	课本	高而险的山岩	课本	畏途{巉岩}不可攀。	蜀道难	1
州郡	zhōu jùn	写	词典	州和郡的合称。亦泛指地方上；指州郡的长官	新华			1
布幔	bù màn	写	词典	布制的帷幕；古代守城用具	新华			1
席篾儿	xí miè ér	写	词典	即细篾儿	新华			1
幡然	fān rán	写	词典					1
干净利落	gān jìng lì luò	读	成语	利落灵活敏捷，也指整齐，有条理。形容没有多余的东西。令人爽心悦目	成语	不是老人家，谁能这样{干净利落}。	《李家庄的变迁·十二》	1
应运而生	yìng yùn ér shēng	读	成语	应顺应；运原指天命，泛指时机。旧指应天命而产生。现指适应时机而产生	成语	实天生德，应运建主。	《汉纪·后序》	1
府尹	fǔ yǐn	写	词典	官名。始于汉代之京兆尹。一般为京畿地区的行政长官	新华			1
度长絜大	duó cháng xié dà	都考	课本	量量长短，比比大小	课本	试使山东之国与陈涉{度长絜大}，比权量力，则不可同年而语矣。	过秦论	1
廊腰缦回	láng yāo màn huí	都考	课本	走廊萦绕曲折	课本	五步一楼，十步一阁；{廊腰缦回}，檐牙高啄；各抱地势，钩心斗角。	阿房宫赋	1
延宕	yán dàng	写	词典	拖延延宕多日，迟复为歉	新华	向他们追索{延宕}未纳的贡物	哈姆莱特（节选）	1
引以为戒	yǐn yǐ wéi jiè	读	成语	引用；戒鉴戒。指把过去犯错误的教训拿来作为警戒，避免重犯	成语	人之求多闻善败，以鉴戒也。	《国语·楚语下》	1
引吭高歌	yǐn háng gāo gē	读	成语	引拉长；吭嗓子，喉咙。放开嗓子大声歌唱	成语	她们{引吭高歌}的时候，曳声很长，抑扬起落。	《醉后》	1
弩弓	nǔ gōng	写	词典	古代一种利用机械力量射箭的弓	新华			1
强聒	qiáng guā	写	词典	亦作强聒；唠叨不休	新华	虽欲{强聒}，终必不蒙见察，故略上报，不复一一自辨。	答司马谏议书	1
彀中	gòu zhōng	写	词典	箭能射及的范围，比喻牢笼．圈套入我～	新华			1
形容枯槁	xíng róng kū gǎo	写	成语	枯槁枯萎，枯干。身体瘦弱，精神萎靡，面色枯黄	成语	屈原至于江滨，被发行吟泽畔，颜色憔悴，{形容枯槁}。	屈原列传	1
彪炳	biāo bǐng	写	词典	文采焕发；照耀～青史ㄧ～千古	新华	篇之{彪炳}，章无疵也；章之明靡，句无玷也；句之清英，字不妄也。”	第八单元	1
彼恶知之	bǐ wū zhī zhī	读	课本	他们怎么知道呢？	课本	以小易大，{彼恶知之}？	齐桓晋文之事	1
徕服	lái fú	写	词典	谓生来适应本地水土气候。《楚辞．九章．橘颂》后皇嘉树，橘徕服兮	新华	其实“树”倒是常见的，例如屈原在《橘颂》里就说：“后皇嘉树，橘{徕服}兮。”	说“木叶”	1
徜徉	cháng yáng	写	词典			在对大地山川、风物美景的描写中{徜徉}，既可以受到美的熏陶，又能够领会深厚的人文内涵。	第七单元	1
心旌	xīn jīng	写	词典	喻不宁静的心神	新华			1
心神恍惚	xīn shén huǎng hū	写	成语	恍惚神志不清，精神不集中。形容精神不集中或神志不清楚	成语	自虚{心神恍惚}，未敢遽前扪撄。	《东阳夜怪录》	1
忏悔录	chàn huǐ lù	写	词典	自传体长篇小说。法国卢梭作于1781-1788年。共两部	新华			1
忸怩不安	niǔ ní bù ān	写	成语	忸怩羞惭的样子。不好意思。心里慌乱	成语	七在屠维岳的锋芒逼人的眼光下，这张长方脸儿上渐渐显现了{忸怩不安}的气色。	《子夜》	1
怅然若失	chàng rán ruò shī	写	成语	怅然形容不如意、不痛快。象失去什么似的烦恼不快	成语	令读者切身感受到阿Q的{怅然若失}。	茶馆（节选）	1
怆然	chuàng rán	写	词典			予怀{怆然}，感慨今昔，因自度此曲。	扬州慢	1
怏怏	yàng yàng	写	词典	不服气或闷闷不乐的神情	新华	翠翠着了恼，把火炬向路两旁乱晃着，向前{怏怏}地走去了。	边城（节选）	1
怵惕恻隐	chù tì cè yǐn	写	词典			皆有{怵惕恻隐}之心	人皆有不忍人之心	1
怵然	chù rán	都考	课本	戒惧的样子	课本	虽然，每至于族，吾见其难为，{怵然}为戒，视为止，行为迟，动刀甚微。	庖丁解牛	1
恁地	nèn dì	写	词典					1
