# 词 	 拼音 	 题型 	 词源 	 释义 	 释义来源 	 例句 	 例句出处 	 课本里出现次数
粽子	zòng zi	写	词典	汉、布依等族的端午节食品。相传是为了纪念屈原	新华	它既有划龙舟、吃{粽子}等活动	第四单元	4
纨素	wán sù	写	词典	洁白精致的绢	课本	腰若流{纨素}，耳著明月珰。	孔雀东南飞并序	4
罗睺	luó hóu	写	词典			今年是{罗睺}星照运，要谨防戴孝的冲了运气，因此哪里也不敢去，谁知躲也躲不过。	小二黑结婚（节选）	4
胭脂	yān zhī	写	词典			俯拾皆是：有的红如{胭脂}	一个消逝了的山村	4
自力更生	zì lì gēng shēng	读	成语	更生再次获得生命，比喻振兴起来	成语	我们人民能以{自力更生}的方式强起来了。	《组织民众与保卫大西南》	4
苌弘	cháng hóng	都考	课本	周敬王时的大夫，孔子曾向他请教过音乐方面的事情	课本	孔子师郯子、{苌弘}、师襄、老聃。	师说	4
萦绕	yíng rào	写	词典			父亲昨夜伟大3□3的谈话还{萦绕}在耳旁。	第八单元	4
诏书	zhào shū	写	词典	皇帝颁发的命令	新华	{诏书}特下，拜臣郎中，寻蒙国恩，除臣洗马。	陈情表	4
豆蔻	dòu kòu	写	词典			纵{豆蔻}词工，青楼梦好，难赋深情。	扬州慢	4
踌蹰	chóu chú	写	词典	见踌躇	新华	我在极短期的{踌蹰}中	祝福	4
踯躅	zhí zhú	写	词典	徘徊不前，这里是“缓慢地走”的意思	课本	金车玉作轮，{踯躅}青骢马，流苏金镂鞍。	孔雀东南飞并序	4
邦彦	bāng yàn	写	词典	指国家的优秀人才	新华	所谓“午阴嘉树清圆”（周{邦彦}《满庭芳》）	说“木叶”	4
郦元	lì yuán	写	词典	即郦道元	课本	{郦元}之所见闻，殆与余同	石钟山记	4
郯子	tán zi	都考	课本	春秋时郯国（今山东郯城一带）的国君，孔子曾向他请教官职的名称	课本	{郯子}之徒，其贤不及孔子。	师说	4
采撷	cǎi xié	写	词典			或令人开怀……试着从中{采撷}一二	百年孤独（节选）	4
镗鞳	tāng tà	写	词典	钟鼓声	课本	与风水相吞吐，有窾坎{镗鞳}之声	石钟山记	4
隽永	juàn yǒng	写	词典			意味{隽永}，风格百变	《红楼梦》	4
雍州	yōng zhōu	写	词典	在今陕西中部北部、甘肃、青海的东南部和宁夏一带	课本	秦孝公据崤函之固，拥{雍州}之地	过秦论	4
饥馑	jī jǐn	写	词典			因之以{饥馑}；由也为之	子路、曾皙、冉有、公西华侍坐	4
黄门驸马	huáng mén fù mǎ	写	词典			宦骑与{黄门驸马}争船	苏武传	4
黍离	shǔ lí	写	词典	本为《诗．王风》中的篇名。《诗．王风．黍离序》﹕《黍离》，闵宗周也	新华	千岩老人以为有{黍离}之悲也。	扬州慢	4
龙子幡	lóng zi fān	写	词典	绣花的旗帜	课本	青雀白鹄舫，四角{龙子幡}，婀娜随风转。	孔雀东南飞并序	4
一篑	yī kuì	写	词典	一筐。篑，盛土竹器	新华	譬如平地，虽覆{一篑}，进，吾往也。”	《论语》十二章	3
丁令	dīng líng	读	课本	即丁灵，匈奴族的一支	课本	其冬，{丁令}盗武牛羊，武复穷厄。	苏武传	3
不啻	bù chì	写	词典			大喜，笼归，举家庆贺，虽连城拱璧{不啻}也。	促织	3
不量	bù liáng	读	课本	意思是欠考虑	课本	而某{不量}敌之众寡	答司马谏议书	3
东曦	dōng xī	写	词典	指日神东君	课本	{东曦}既驾，僵卧长愁。	促织	3
东皋	dōng gāo	写	词典	水边向阳的高地	课本	登{东皋}以舒啸，临清流而赋诗。	归去来兮辞并序	3
久别重逢	jiǔ bié chóng féng	读	成语	指朋友或亲人在长久分别之后再次见面	成语	第三回多年不见了，说了几句{久别重逢}的话，招呼大家坐下，书僮送上茶来。	《孽海花》	3
亨利	hēng lì	写	词典	电感单位，电路中电流强度1秒钟内的变化为1安培、产生的电动势为1伏特时，电感就是1亨利	新华	——托马斯·{亨利}·赫胥黎宇宙现在是这样，过去是这样，将来也永远是这样。	宇宙的边疆	3
伶俜	líng pīng	写	词典	孤单的样子	课本	昼夜勤作息，{伶俜}萦苦辛。	孔雀东南飞并序	3
余音袅袅	yú yīn niǎo niǎo	写	成语	形容音乐悦耳动听，令人沉醉	成语	其声呜呜然，如怨如慕，如泣如诉，{余音袅袅}，不绝如缕。	赤壁赋	3
佛狸祠	bì lí cí	读	课本	北魏太武帝拓跋焘（408—452）小名“佛狸”	课本	可堪回首，{佛狸祠}下，一片神鸦社鼓。	永遇乐·京口北固亭怀古	3
侘傺	chà chì	写	词典	失意的样子	课本	忳郁邑余{侘傺}兮，吾独穷困乎此时也。	离骚（节选）	3
修姱	xiū kuā	写	词典	洁美	新华	余虽好{修姱}以鞿羁兮，謇朝谇而夕替。	离骚（节选）	3
偕老	xié lǎo	写	词典	共同生活到老。常特指夫妻相偕到老；借指夫妇	新华	及尔{偕老}，老使我怨。	氓	3
兀的	wù de	写	词典	也作兀底	新华	天那，{兀的}不痛杀我也！	窦娥冤（节选）	3
先妣	xiān bǐ	写	词典	亡母；先祖之母	新华	室西连于中闺，{先妣}尝一至。	项脊轩志	3
六幺	liù yāo	写	词典	见六幺令	新华	轻拢慢捻抹复挑，初为《霓裳》后《{六幺}》。	琵琶行并序	3
兰若	lán rě	读	课本	寺庙，梵语“阿兰若”的省称	课本	拾视之，非字而画：中绘殿阁，类{兰若}。	促织	3
出仕	chū shì	写	词典	出来做官	新华			3
击瓮叩缶	jī wèng kòu fǒu	都考	课本	敲击瓮、缶来奏乐	课本	夫{击瓮叩缶}，弹筝搏髀	谏逐客书	3
千乘之国	qiān shèng zhī guó	读	课本	有一千辆兵车的诸侯国	课本	“{千乘之国}，摄乎大国之间	子路、曾皙、冉有、公西华侍坐	3
吝啬	lìn sè	写	词典			我只想鼓吹我们再{吝啬}一点，“送去”之外，还得“拿来”，是为“拿来主义”。	拿来主义	3
周瑜	zhōu yú	写	词典					3
周髀	zhōu bì	写	词典	即盖天。我国古代一种天体学说，谓天象无柄的伞，地象无盖的盘子	新华	与宣夜说相比，盖天说有其经典流布于世，那就是《{周髀}算经》。	天文学上的旷世之争	3
咀嚼	jǔ jué	写	词典			还要反复涵泳{咀嚼}	第七单元	3
和之	hè zhī	读	课本	（用箫）随着歌声伴奏	课本	客有吹洞箫者，倚歌而{和之}。	赤壁赋	3
