# 词语表 · 课本用到的那部分（词 + 拼音）
#
# 原表取自汉语拼音辞典 https://github.com/mapull/chinese-dictionary
# （经 https://github.com/zispace/hanzi-words 整理），三十多万条，太大不入库。
# 这里只留在五本课本里真出现过的，别的用不上。
#
# 原表有错（「一不做，二不休」注成 yī bū zuò），所以只作词的边界用，
# 注音一律和 pypinyin 交叉验证，两边一致才收；课本自己注过音的以课本为准。
下拜	xià bài
下放	xià fàng
下文	xià wén
下时	xià shí
下来	xià lái
下次	xià cì
下比	xià bǐ
下气	xià qì
下水	xià shuǐ
下江	xià jiāng
下注	xià zhù
下游	xià yóu
下班	xià bān
下生	xià shēng
下的	xià de
下神	xià shén
下种	xià zhǒng
下端	xià duān
下笔	xià bǐ
下笔千言	xià bǐ qiān yán
下笔成文	xià bǐ chéng wén
下第	xià dì
下等	xià děng
下等人	xià děng rén
下箸	xià zhù
下级	xià jí
下脚	xià jiǎo
下腰	xià yāo
下船	xià chuán
下茶	xià chá
下落	xià luò
下葬	xià zàng
下计	xià jì
下说	xià shuō
下课	xià kè
下贱	xià jiàn
下走	xià zǒu
下身	xià shēn
下车	xià chē
下边	xià biān
下道	xià dào
下部	xià bù
下都	xià dōu
下酒	xià jiǔ
下里	xià lǐ
下陈	xià chén
下降	xià jiàng
下面	xià miàn
下颚	xià è
下饭	xià fàn
下马	xià mǎ
不一	bù yī
不一会儿	bù yī huì er
不一定	bù yí dìng
不下	bù xià
不中	bù zhōng
不中用	bù zhōng yòng
不举	bù jǔ
不久	bù jiǔ
不乏	bù fá
不了	bù liǎo
不争	bù zhēng
不事	bù shì
不亦	bù yì
不亦善夫	bù yi shàn fū
不仁	bù rén
不仅	bù jǐn
不介意	bù jiè yì
不以为然	bù yǐ wéi rán
不以为耻	bù yǐ wéi chǐ
不任	bù rèn
不休	bù xiū
不会	bú huì
不但	bù dàn
不住	bú zhù
不作声	bù zuò shēng
不使	bù shǐ
不依	bù yī
不便	bù biàn
不信	bù xìn
不修	bù xiū
不值	bù zhí
不值一笑	bù zhí yī xiào
不值得	bù zhí dé
不假思索	bù jiā sī suǒ
不偏不倚	bù piān bù yǐ
不像	bù xiàng
不像话	bù xiàng huà
不光	bù guāng
不免	bù miǎn
不公	bù gōng
不关	bù guān
不兴	bù xīng
不几	bù jǐ
不凡	bù fán
不分	bù fēn
不利	bù lì
不加	bù jiā
不务正业	bù wù zhèng yè
不动声色	bù dòng shēng sè
不单	bù dān
不厌	bù yàn
不及	bù jí
不取	bù qǔ
不只	bù zhǐ
不可	bù kě
不可估量	bù kě gū liáng
不可侵犯	bù kě qīn fàn
不可分	bù kě fēn
不可分割	bù kě fēn gē
不可动摇	bù kě dòng yáo
不可思议	bù kě sī yì
不可或缺	bù kě huò quē
不可知论	bù kě zhī lùn
不可磨灭	bù kě mó miè
不可避免	bù kě bì miǎn
不合	bù hé
不吉	bù jí
不同凡响	bù tóng fán xiǎng
不吐不快	bù tǔ bù kuài
不含糊	bù hán hù
不周	bù zhōu
不和	bù hé
不售	bù shòu
不啻	bù chì
不善	bù shàn
不回	bù huí
不图	bù tú
不圆	bù yuán
不在	bù zài
不在乎	bù zài hū
不在意	bù zài yì
不在话下	bù zài huà xià
不均	bù jūn
不坠	bù zhuì
不堪	bù kān
不堪回首	bù kān huí shǒu
不堪设想	bù kān shè xiǎng
不复	bù fù
不外	bù wài
不够	bù gòu
不失	bù shī
不失为	bù shī wèi
不失时机	bù shī shí jī
不好意思	bù hǎo yì sī
不好看	bù hǎo kàn
不如	bù rú
不如意	bù rú yì
不妥	bù tuǒ
不妨	bù fáng
不孝	bù xiào
不学	bù xué
不宁	bù níng
不安	bù ān
不定	bù dìng
不宜	bù yí
不实	bù shí
不审	bù shěn
不容	bù róng
不容分说	bù róng fēn shuō
不对	bú duì
不对劲	bú duì jìn
不对头	bú duì tóu
不少	bù shǎo
不就	bù jiù
不尴尬	bù gān gà
不尽	bù jìn
不居	bù jū
不屈	bù qū
不屈不挠	bù qū bù náo
不屑	bù xiè
不属	bù shǔ
不巧	bù qiǎo
不已	bù yǐ
不带	bù dài
不干	bù gàn
不干不净	bù gān bù jìng
不平	bù píng
不幸	bù xìng
不广	bù guǎng
不庄	bù zhuāng
不归	bù guī
不当	bù dàng
不待	bù dài
不得	bù dé
不得了	bù dé le
不得已	bù dé yǐ
不必	bù bì
不忍	bù rěn
不快	bù kuài
不怀	bù huái
不怀好意	bù huái hào yì
不怕	bù pà
不恤	bù xù
不惑	bù huò
不惜	bù xī
不惜一切	bù xī yī qiè
不惮	bù dàn
不想	bù xiǎng
不愧	bù kuì
不慌不忙	bù huāng bù máng
不懈	bù xiè
不成	bù chéng
不成体统	bù chéng tǐ tǒng
不成器	bù chéng qì
不成话	bù chéng huà
不托	bù tuō
不拉	bù lā
不拘	bù jū
不拘于时	bu ju yu shi
不择	bù zé
不掉	bù diào
不效	bù xiào
不敏	bù mǐn
不敢	bù gǎn
不敬	bù jìng
不数	bù shù
不料	bù liào
不断	bù duàn
不方	bù fāng
不时	bù shí
不明	bù míng
不明不暗	bù míng bù àn
不明不白	bù míng bù bái
不明事理	bù míng shì lǐ
不是	bú shì
不是味儿	bú shì wèi ér
不显	bù xiǎn
不暇	bù xiá
不更事	bù gēng shì
不曾	bù céng
不有	bù yǒu
不服	bù fú
不服气	bù fú qì
不期然	bù qī rán
不朽	bù xiǔ
不杀	bù shā
不来	bù lái
不极	bù jí
不根	bù gēn
不止	bù zhǐ
不正	bù zhèng
不正之风	bù zhèng zhī fēng
不武	bù wǔ
不殊	bù shū
不比	bù bǐ
不永	bù yǒng
不治	bù zhì
不治之症	bù zhì zhī zhèng
不测	bù cè
不测之渊	bù cè zhī yuān
不测风云	bù cè cē yún
不济	bù jì
不淫	bù yín
不渝	bù yú
不满	bù mǎn
不灵	bù líng
不烦	bù fán
不然	bù rán
不爽	bù shuǎng
不犯	bù fàn
不犹	bù yóu
不独	bù dú
不王	bù wáng
不理	bù lǐ
不甘	bù gān
不甚	bù shèn
不用	bù yòng
不由	bù yóu
不由得	bù yóu de
不由自主	bù yóu zì zhǔ
不留余地	bù liú yú dì
不盈	bù yíng
不目	bù mù
不相上下	bù xiāng shàng xià
不相称	bù xiāng chèn
不眠之夜	bù mián zhī yè
不着	bù zhe
不知不觉	bù zhī bù jué
不知凡几	bù zhī fán jǐ
不知好歹	bù zhī hǎo dǎi
不知所云	bù zhī suǒ yún
不知所措	bù zhī suǒ cuò
不祥	bù xiáng
不禁	bù jīn
不符	bù fú
不等	bù děng
不算	bù suàn
不管	bù guǎn
不约而同	bù yuē ér tóng
不给	bù gěi
不绝如缕	bù jué rú lǚ
不羁	bù jī
不美	bù měi
不耐	bù nài
不耐烦	bù nài fán
不耻相师	bu chi xiang shi
不肖	bù xiào
不肯	bù kěn
不育	bù yù
不胜	bù shèng
不胜杯杓	bù shèng bēi sháo
不胜枚举	bù shèng méi jǔ
不能够	bù néng gòu
不能自已	bù néng zì yǐ
不脱	bù tuō
不自意	bù zì yì
不自禁	bù zì jīn
不自觉	bù zì jué
不至	bù zhì
不至于	bù zhì yú
不致	bù zhì
不舍	bù shě
不良	bù liáng
不若	bù ruò
不获	bù huò
不虚此行	bù xū cǐ xíng
不行	bù xíng
不衰	bù shuāi
不要	bú yào
不要紧	bú yào jǐn
不要脸	bú yào liǎn
不见	bú jiàn
不见得	bú jiàn de
不见的	bú jiàn de
不见舆薪	bù jiàn yú xīn
不觉	bù jué
不解	bù jiě
不言	bù yán
不言不语	bù yán bù yǔ
不言而喻	bù yán ér yù
不计	bù jì
不计其数	bù jì qí shù
不许	bù xǔ
不论	bù lùn
不该	bù gāi
不详	bù xiáng
不谋而合	bù móu ér hé
不谓	bù wèi
不赞一词	bù zàn yī cí
不走	bù zǒu
不起	bù qǐ
不足	bù zú
不足与谋	bù zú yǔ móu
不足为奇	bù zú wéi qí
不足为怪	bù zú wéi guài
不足道	bù zú dào
不辞	bù cí
不辞劳苦	bù cí láo kǔ
不过	bù guò
不远千里	bù yuǎn qiān lǐ
不退	bù tuì
不适	bù shì
不逊	bù xùn
不通	bù tōng
不遇	bù yù
不那	bù nà
不配	bù pèi
不释	bù shì
不错	bù cuò
不问	bù wèn
不雅	bù yǎ
不霁	bù jì
不顶事	bù dǐng shì
不顺	bù shùn
不顾	bù gù
不顾一切	bù gù yī qiè
不顾死活	bù gù sǐ huó
不饥不寒	bù jī bù hán
不齿	bù chǐ
与世推移	yǔ shì tuī yí
与世隔绝	yǔ shì gé jué
与人	yǔ rén
与众不同	yǔ zhòng bù tóng
与会	yù huì
与共	yǔ gòng
与其	yǔ qí
与同	yǔ tóng
与国	yǔ guó
与地	yǔ dì
与妻书	yǔ qī shū
与时	yǔ shí
与民同乐	yǔ mín tóng lè
与生俱来	yǔ shēng jù lái
与知	yǔ zhī
与谋	yǔ móu
丑事	chǒu shì
丑土	chǒu tǔ
丑态	chǒu tài
丑恶	chǒu è
专一	zhuān yī
专业	zhuān yè
专任	zhuān rèn
专利	zhuān lì
专制	zhuān zhì
专区	zhuān qū
专名	zhuān míng
专家	zhuān jiā
专心	zhuān xīn
专心致志	zhuān xīn zhì zhì
专攻	zhuān gōng
专政	zhuān zhèng
专注	zhuān zhù
专程	zhuān chéng
专著	zhuān zhù
专行	zhuān xíng
专责	zhuān zé
专门	zhuān mén
专门学校	zhuān mén xué xiào
专题	zhuān tí
且慢	qiě màn
且是	qiě shì
且暂	qiě zàn
且自	qiě zì
且说	qiě shuō
世上	shì shàng
世世	shì shì
世世代代	shì shì dài dài
世事	shì shì
世人	shì rén
世代	shì dài
世代相传	shì dài xiāng chuán
世俗	shì sú
世味	shì wèi
世外	shì wài
世外桃源	shì wài táo yuán
世姻	shì yīn
世学	shì xué
世家	shì jiā
世态	shì tài
世情	shì qíng
世故	shì gù
世故人情	shì gù rén qíng
世民	shì mín
世济	shì jì
世用	shì yòng
世界	shì jiè
世界观	shì jiè guān
世界银行	shì jiè yín háng
世相	shì xiāng
世系	shì xì
世纪	shì jì
世说新语	shì shuō xīn yǔ
世路	shì lù
世运	shì yùn
世道	shì dào
世间	shì jiān
世面	shì miàn
丘封	qiū fēng
